Source;Target;Type;Weight
0;1;Directed;1
0;2;Directed;1
0;3;Directed;1
0;4;Directed;1
0;5;Directed;1
0;6;Directed;1
0;7;Directed;1
0;8;Directed;1
0;9;Directed;1
0;10;Directed;1
1;2;Directed;1
1;11;Directed;1
1;12;Directed;1
1;13;Directed;1
1;14;Directed;1
1;15;Directed;1
1;16;Directed;1
1;17;Directed;1
1;18;Directed;1
1;19;Directed;1
3;20;Directed;1
3;21;Directed;1
3;22;Directed;1
3;23;Directed;1
3;24;Directed;1
3;25;Directed;1
3;26;Directed;1
3;27;Directed;1
3;28;Directed;1
3;29;Directed;1
8;30;Directed;1
8;31;Directed;1
8;32;Directed;1
8;33;Directed;1
8;34;Directed;1
8;35;Directed;1
8;36;Directed;1
8;37;Directed;1
8;38;Directed;1
8;39;Directed;1
10;41;Directed;1
10;136;Directed;1
10;137;Directed;1
10;138;Directed;1
10;139;Directed;1
10;140;Directed;1
10;141;Directed;1
10;142;Directed;1
10;143;Directed;1
10;144;Directed;1
12;40;Directed;1
12;41;Directed;1
12;42;Directed;1
12;43;Directed;1
12;44;Directed;1
12;45;Directed;1
12;46;Directed;1
12;47;Directed;1
12;48;Directed;1
12;49;Directed;1
14;199;Directed;1
14;756;Directed;1
14;1116;Directed;1
14;2537;Directed;1
14;2787;Directed;1
14;3307;Directed;1
14;4524;Directed;1
14;4674;Directed;1
14;6016;Directed;1
14;7040;Directed;1
17;79;Directed;1
17;80;Directed;1
17;81;Directed;1
17;82;Directed;1
17;83;Directed;1
17;84;Directed;1
17;85;Directed;1
17;86;Directed;1
17;87;Directed;1
17;88;Directed;1
19;69;Directed;1
19;70;Directed;1
19;71;Directed;1
19;72;Directed;1
19;73;Directed;1
19;74;Directed;1
19;75;Directed;1
19;76;Directed;1
19;77;Directed;1
19;78;Directed;1
20;50;Directed;1
20;51;Directed;1
20;52;Directed;1
20;53;Directed;1
20;54;Directed;1
20;55;Directed;1
20;56;Directed;1
20;57;Directed;1
20;58;Directed;1
20;59;Directed;1
21;22;Directed;1
21;60;Directed;1
21;61;Directed;1
21;62;Directed;1
21;63;Directed;1
21;64;Directed;1
21;65;Directed;1
21;66;Directed;1
21;67;Directed;1
21;68;Directed;1
23;108;Directed;1
23;109;Directed;1
23;110;Directed;1
23;111;Directed;1
23;112;Directed;1
23;113;Directed;1
23;114;Directed;1
23;115;Directed;1
23;116;Directed;1
25;98;Directed;1
25;99;Directed;1
25;100;Directed;1
25;101;Directed;1
25;102;Directed;1
25;103;Directed;1
25;104;Directed;1
25;105;Directed;1
25;106;Directed;1
25;107;Directed;1
26;78;Directed;1
26;89;Directed;1
26;90;Directed;1
26;91;Directed;1
26;92;Directed;1
26;93;Directed;1
26;94;Directed;1
26;95;Directed;1
26;96;Directed;1
26;97;Directed;1
29;654;Directed;1
30;185;Directed;1
30;186;Directed;1
38;117;Directed;1
38;118;Directed;1
38;119;Directed;1
38;120;Directed;1
38;121;Directed;1
38;122;Directed;1
38;123;Directed;1
38;124;Directed;1
38;125;Directed;1
38;126;Directed;1
39;155;Directed;1
39;156;Directed;1
39;157;Directed;1
39;158;Directed;1
39;159;Directed;1
39;160;Directed;1
39;161;Directed;1
39;162;Directed;1
39;163;Directed;1
39;164;Directed;1
46;92;Directed;1
46;127;Directed;1
46;128;Directed;1
46;129;Directed;1
46;130;Directed;1
46;131;Directed;1
46;132;Directed;1
46;133;Directed;1
46;134;Directed;1
46;135;Directed;1
54;145;Directed;1
54;146;Directed;1
54;147;Directed;1
54;148;Directed;1
54;149;Directed;1
54;150;Directed;1
54;151;Directed;1
54;152;Directed;1
54;153;Directed;1
54;154;Directed;1
58;165;Directed;1
58;166;Directed;1
58;167;Directed;1
58;168;Directed;1
58;169;Directed;1
58;170;Directed;1
58;171;Directed;1
58;172;Directed;1
58;173;Directed;1
58;174;Directed;1
60;184;Directed;1
61;175;Directed;1
62;13;Directed;1
62;176;Directed;1
62;177;Directed;1
62;178;Directed;1
62;179;Directed;1
62;180;Directed;1
62;181;Directed;1
62;182;Directed;1
62;183;Directed;1
65;178;Directed;1
65;197;Directed;1
65;198;Directed;1
65;199;Directed;1
65;200;Directed;1
65;201;Directed;1
65;202;Directed;1
65;203;Directed;1
65;204;Directed;1
65;205;Directed;1
73;187;Directed;1
73;188;Directed;1
73;189;Directed;1
73;190;Directed;1
73;191;Directed;1
73;192;Directed;1
73;193;Directed;1
73;194;Directed;1
73;195;Directed;1
73;196;Directed;1
75;3;Directed;1
75;6;Directed;1
75;57;Directed;1
75;216;Directed;1
75;217;Directed;1
75;218;Directed;1
75;219;Directed;1
75;220;Directed;1
75;221;Directed;1
75;222;Directed;1
76;206;Directed;1
76;207;Directed;1
76;208;Directed;1
76;209;Directed;1
76;210;Directed;1
76;211;Directed;1
76;212;Directed;1
76;213;Directed;1
76;214;Directed;1
76;215;Directed;1
77;80;Directed;1
77;84;Directed;1
77;85;Directed;1
77;86;Directed;1
77;88;Directed;1
77;294;Directed;1
77;309;Directed;1
77;310;Directed;1
77;311;Directed;1
77;312;Directed;1
78;490;Directed;1
78;491;Directed;1
78;492;Directed;1
80;232;Directed;1
80;233;Directed;1
80;234;Directed;1
80;235;Directed;1
80;236;Directed;1
80;237;Directed;1
80;238;Directed;1
80;239;Directed;1
80;240;Directed;1
81;193;Directed;1
81;196;Directed;1
81;750;Directed;1
81;1014;Directed;1
81;2738;Directed;1
81;3186;Directed;1
81;3297;Directed;1
81;5969;Directed;1
81;5970;Directed;1
81;5971;Directed;1
83;63;Directed;1
83;223;Directed;1
83;224;Directed;1
83;225;Directed;1
83;226;Directed;1
83;227;Directed;1
83;228;Directed;1
83;229;Directed;1
83;230;Directed;1
83;231;Directed;1
84;408;Directed;1
84;820;Directed;1
84;2619;Directed;1
84;2952;Directed;1
84;4166;Directed;1
84;4657;Directed;1
84;4754;Directed;1
84;5031;Directed;1
84;6337;Directed;1
84;6338;Directed;1
87;208;Directed;1
87;241;Directed;1
87;242;Directed;1
87;243;Directed;1
87;244;Directed;1
87;245;Directed;1
87;246;Directed;1
87;247;Directed;1
87;248;Directed;1
88;84;Directed;1
88;85;Directed;1
88;86;Directed;1
88;292;Directed;1
88;293;Directed;1
88;294;Directed;1
88;295;Directed;1
88;296;Directed;1
88;297;Directed;1
88;298;Directed;1
89;148;Directed;1
89;266;Directed;1
89;267;Directed;1
89;268;Directed;1
89;269;Directed;1
89;270;Directed;1
89;271;Directed;1
89;272;Directed;1
89;273;Directed;1
89;274;Directed;1
90;89;Directed;1
90;92;Directed;1
90;223;Directed;1
90;259;Directed;1
90;260;Directed;1
90;261;Directed;1
90;262;Directed;1
90;263;Directed;1
90;264;Directed;1
90;265;Directed;1
91;249;Directed;1
91;250;Directed;1
91;251;Directed;1
91;252;Directed;1
91;253;Directed;1
91;254;Directed;1
91;255;Directed;1
91;256;Directed;1
91;257;Directed;1
91;258;Directed;1
92;164;Directed;1
92;275;Directed;1
92;276;Directed;1
92;277;Directed;1
92;278;Directed;1
92;279;Directed;1
92;280;Directed;1
92;281;Directed;1
92;282;Directed;1
92;283;Directed;1
93;107;Directed;1
93;284;Directed;1
93;285;Directed;1
93;286;Directed;1
93;287;Directed;1
93;288;Directed;1
93;289;Directed;1
93;290;Directed;1
93;291;Directed;1
94;299;Directed;1
94;300;Directed;1
94;301;Directed;1
94;302;Directed;1
94;303;Directed;1
94;304;Directed;1
94;305;Directed;1
94;306;Directed;1
94;307;Directed;1
94;308;Directed;1
96;333;Directed;1
96;334;Directed;1
96;335;Directed;1
96;336;Directed;1
96;337;Directed;1
96;338;Directed;1
96;339;Directed;1
96;340;Directed;1
96;341;Directed;1
96;342;Directed;1
97;27;Directed;1
97;142;Directed;1
97;502;Directed;1
97;742;Directed;1
97;871;Directed;1
97;872;Directed;1
97;873;Directed;1
97;874;Directed;1
97;875;Directed;1
97;876;Directed;1
97;877;Directed;1
97;878;Directed;1
97;879;Directed;1
97;880;Directed;1
97;881;Directed;1
97;882;Directed;1
97;883;Directed;1
97;884;Directed;1
97;885;Directed;1
99;4;Directed;1
99;103;Directed;1
99;105;Directed;1
99;320;Directed;1
99;321;Directed;1
99;322;Directed;1
99;323;Directed;1
99;324;Directed;1
99;325;Directed;1
99;326;Directed;1
99;327;Directed;1
99;328;Directed;1
99;329;Directed;1
99;330;Directed;1
99;331;Directed;1
99;332;Directed;1
101;139;Directed;1
101;313;Directed;1
101;314;Directed;1
101;315;Directed;1
101;316;Directed;1
101;317;Directed;1
101;318;Directed;1
101;319;Directed;1
106;166;Directed;1
106;171;Directed;1
106;343;Directed;1
106;344;Directed;1
106;345;Directed;1
106;346;Directed;1
106;347;Directed;1
106;348;Directed;1
106;349;Directed;1
107;2981;Directed;1
107;3307;Directed;1
107;6479;Directed;1
107;7381;Directed;1
107;8612;Directed;1
107;8842;Directed;1
107;8843;Directed;1
107;8844;Directed;1
107;8845;Directed;1
108;350;Directed;1
109;385;Directed;1
109;386;Directed;1
109;387;Directed;1
109;388;Directed;1
109;389;Directed;1
109;390;Directed;1
109;391;Directed;1
109;392;Directed;1
109;393;Directed;1
109;394;Directed;1
111;102;Directed;1
112;329;Directed;1
112;351;Directed;1
112;352;Directed;1
112;353;Directed;1
112;354;Directed;1
112;355;Directed;1
112;356;Directed;1
112;357;Directed;1
112;358;Directed;1
112;359;Directed;1
113;86;Directed;1
113;360;Directed;1
113;361;Directed;1
113;362;Directed;1
113;363;Directed;1
113;364;Directed;1
113;365;Directed;1
113;366;Directed;1
113;367;Directed;1
115;395;Directed;1
115;396;Directed;1
115;397;Directed;1
115;398;Directed;1
115;399;Directed;1
115;400;Directed;1
115;401;Directed;1
115;402;Directed;1
115;403;Directed;1
115;404;Directed;1
116;512;Directed;1
118;368;Directed;1
118;369;Directed;1
118;370;Directed;1
118;371;Directed;1
118;372;Directed;1
118;373;Directed;1
118;374;Directed;1
118;375;Directed;1
118;376;Directed;1
118;377;Directed;1
119;102;Directed;1
119;103;Directed;1
119;322;Directed;1
119;378;Directed;1
119;379;Directed;1
119;380;Directed;1
119;381;Directed;1
119;382;Directed;1
119;383;Directed;1
119;384;Directed;1
120;97;Directed;1
120;408;Directed;1
120;438;Directed;1
120;439;Directed;1
120;440;Directed;1
120;441;Directed;1
120;442;Directed;1
120;443;Directed;1
120;444;Directed;1
120;445;Directed;1
121;480;Directed;1
121;481;Directed;1
121;482;Directed;1
121;483;Directed;1
121;484;Directed;1
121;485;Directed;1
121;486;Directed;1
121;487;Directed;1
121;488;Directed;1
121;489;Directed;1
122;149;Directed;1
122;415;Directed;1
122;416;Directed;1
122;417;Directed;1
122;418;Directed;1
123;405;Directed;1
123;406;Directed;1
123;407;Directed;1
123;408;Directed;1
123;409;Directed;1
123;410;Directed;1
123;411;Directed;1
123;412;Directed;1
123;413;Directed;1
123;414;Directed;1
124;419;Directed;1
124;420;Directed;1
124;421;Directed;1
124;422;Directed;1
124;423;Directed;1
124;424;Directed;1
124;425;Directed;1
124;426;Directed;1
124;427;Directed;1
124;428;Directed;1
125;470;Directed;1
125;471;Directed;1
125;472;Directed;1
125;473;Directed;1
125;474;Directed;1
125;475;Directed;1
125;476;Directed;1
125;477;Directed;1
125;478;Directed;1
125;479;Directed;1
126;244;Directed;1
126;957;Directed;1
126;958;Directed;1
127;1475;Directed;1
127;2364;Directed;1
127;2799;Directed;1
127;3641;Directed;1
127;3681;Directed;1
127;3682;Directed;1
127;3683;Directed;1
127;3684;Directed;1
127;3685;Directed;1
127;3686;Directed;1
128;18;Directed;1
128;429;Directed;1
128;430;Directed;1
128;431;Directed;1
128;432;Directed;1
128;433;Directed;1
128;434;Directed;1
128;435;Directed;1
128;436;Directed;1
128;437;Directed;1
129;2518;Directed;1
129;3309;Directed;1
129;3310;Directed;1
129;3311;Directed;1
129;3312;Directed;1
129;3313;Directed;1
129;3314;Directed;1
129;3315;Directed;1
129;3316;Directed;1
129;3317;Directed;1
130;446;Directed;1
130;447;Directed;1
130;448;Directed;1
130;449;Directed;1
130;450;Directed;1
130;451;Directed;1
130;452;Directed;1
130;453;Directed;1
130;454;Directed;1
130;455;Directed;1
131;140;Directed;1
131;328;Directed;1
131;456;Directed;1
131;457;Directed;1
131;458;Directed;1
131;459;Directed;1
131;460;Directed;1
131;461;Directed;1
131;462;Directed;1
131;463;Directed;1
132;3;Directed;1
132;52;Directed;1
132;219;Directed;1
132;222;Directed;1
132;464;Directed;1
132;465;Directed;1
132;466;Directed;1
132;467;Directed;1
132;468;Directed;1
132;469;Directed;1
133;570;Directed;1
133;1210;Directed;1
133;1755;Directed;1
133;2002;Directed;1
133;2773;Directed;1
133;3680;Directed;1
133;4229;Directed;1
133;4230;Directed;1
133;4231;Directed;1
133;4232;Directed;1
136;730;Directed;1
136;1116;Directed;1
136;1198;Directed;1
136;1454;Directed;1
136;4191;Directed;1
136;4694;Directed;1
136;5062;Directed;1
136;5626;Directed;1
136;8253;Directed;1
136;8958;Directed;1
137;289;Directed;1
137;493;Directed;1
137;494;Directed;1
137;495;Directed;1
137;496;Directed;1
137;497;Directed;1
137;498;Directed;1
137;499;Directed;1
137;500;Directed;1
137;501;Directed;1
141;502;Directed;1
141;503;Directed;1
141;504;Directed;1
