Source;Target;Type;Weight
127;2364;Directed;1
407;695;Directed;1
568;961;Directed;1
889;167;Directed;1
989;1579;Directed;1
989;2265;Directed;1
1054;220;Directed;1
1456;3556;Directed;1
1537;3060;Directed;1
1655;961;Directed;1
1959;171;Directed;1
1959;263;Directed;1
1959;565;Directed;1
1959;984;Directed;1
1971;1055;Directed;1
2096;1255;Directed;1
2416;763;Directed;1
2416;3761;Directed;1
2485;568;Directed;1
3109;147;Directed;1
3109;167;Directed;1
3109;765;Directed;1
3109;867;Directed;1
3109;1056;Directed;1
3109;2975;Directed;1
3427;99;Directed;1
3556;765;Directed;1
3556;4097;Directed;1
3761;961;Directed;1
4057;1890;Directed;1
4609;4673;Directed;1
5598;167;Directed;1
5617;1579;Directed;1
6101;889;Directed;1
6101;1890;Directed;1
8308;961;Directed;1
8308;1198;Directed;1
8308;4057;Directed;1
8308;4673;Directed;1
9134;889;Directed;1
