Id;Label;Interval
0;0;17
1;1;14
2;2;9
3;3;16
4;4;16
5;5;7
6;6;8
7;7;5
8;8;11
9;9;17
10;10;14
11;11;12
12;12;12
13;13;11
14;14;13
15;15;4
16;16;9
17;17;15
18;18;11
19;19;14
20;20;14
21;21;11
22;22;6
23;23;13
24;24;1
25;25;18
26;26;18
27;27;5
28;28;1
29;29;3
30;30;16
31;31;11
32;32;1
33;33;13
34;34;6
35;35;10
36;36;4
37;37;4
38;38;14
39;39;16
40;40;5
41;41;5
42;42;4
43;43;1
44;44;17
45;45;7
46;46;19
47;47;2
48;48;9
49;49;1
50;50;3
51;51;3
52;52;11
53;53;6
54;54;17
55;55;4
56;56;1
57;57;7
58;58;25
59;59;2
60;60;2
61;61;6
62;62;10
63;63;3
64;64;1
65;65;19
66;66;13
67;67;9
68;68;2
69;69;8
70;70;3
71;71;16
72;72;3
73;73;15
74;74;9
75;75;21
76;76;15
77;77;13
78;78;6
79;79;10
80;80;12
81;81;17
82;82;1
83;83;23
84;84;14
85;85;7
86;86;7
87;87;18
88;88;13
89;89;20
90;90;25
91;91;17
92;92;27
93;93;23
94;94;24
95;95;2
96;96;11
97;97;25
98;98;9
99;99;46
100;100;4
101;101;13
102;102;11
103;103;5
104;104;1
105;105;5
106;106;26
107;107;18
108;108;5
109;109;14
110;110;14
111;111;2
112;112;12
113;113;11
114;114;9
115;115;16
116;116;2
117;117;10
118;118;24
119;119;11
120;120;23
121;121;22
122;122;8
123;123;13
124;124;20
125;125;21
126;126;5
127;127;52
128;128;29
129;129;35
130;130;31
131;131;44
132;132;33
133;133;35
134;134;12
135;135;1
136;136;16
137;137;24
138;138;6
139;139;2
140;140;10
141;141;17
142;142;4
143;143;5
144;144;11
145;145;5
146;146;15
147;147;47
148;148;28
149;149;25
150;150;16
151;151;2
152;152;4
153;153;11
154;154;13
155;155;6
156;156;1
157;157;16
158;158;10
159;159;9
160;160;3
161;161;22
162;162;18
163;163;1
164;164;7
165;165;58
166;166;12
167;167;32
168;168;37
169;169;5
170;170;28
171;171;58
172;172;5
173;173;3
174;174;18
175;175;12
176;176;18
177;177;8
178;178;13
179;179;1
180;180;20
181;181;12
182;182;10
183;183;8
184;184;13
185;185;23
186;186;10
187;187;21
188;188;1
189;189;18
190;190;27
191;191;4
192;192;21
193;193;6
194;194;13
195;195;15
196;196;3
197;197;2
198;198;15
199;199;10
200;200;30
201;201;13
202;202;7
203;203;5
204;204;7
205;205;25
206;206;17
207;207;11
208;208;4
209;209;6
210;210;1
211;211;4
212;212;1
213;213;18
214;214;3
215;215;2
216;216;6
217;217;15
218;218;10
219;219;3
220;220;36
221;221;9
222;222;6
223;223;24
224;224;8
225;225;7
226;226;5
227;227;11
228;228;5
229;229;14
230;230;7
231;231;8
232;232;4
233;233;7
234;234;18
235;235;12
236;236;15
237;237;24
238;238;18
239;239;22
240;240;16
241;241;16
242;242;12
243;243;9
244;244;18
245;245;10
246;246;5
247;247;10
248;248;15
249;249;7
250;250;6
251;251;13
252;252;22
253;253;10
254;254;15
255;255;11
256;256;16
257;257;5
258;258;5
259;259;1
260;260;32
261;261;63
262;262;20
263;263;59
264;264;15
265;265;24
266;266;26
267;267;29
268;268;13
269;269;2
270;270;17
271;271;1
272;272;14
273;273;16
274;274;2
275;275;23
276;276;6
277;277;17
278;278;2
279;279;3
280;280;14
281;281;14
282;282;12
283;283;1
284;284;3
285;285;13
286;286;14
287;287;13
288;288;19
289;289;13
290;290;19
291;291;4
292;292;16
293;293;8
294;294;2
295;295;11
296;296;25
297;297;1
298;298;3
299;299;4
300;300;11
301;301;10
302;302;7
303;303;6
304;304;14
305;305;13
306;306;4
307;307;6
308;308;16
309;309;3
310;310;5
311;311;22
312;312;1
313;313;5
314;314;35
315;315;21
316;316;15
317;317;15
318;318;12
319;319;16
320;320;7
321;321;2
322;322;7
323;323;10
324;324;3
325;325;12
326;326;12
327;327;16
328;328;21
329;329;26
330;330;21
331;331;11
332;332;8
333;333;5
334;334;2
335;335;17
336;336;2
337;337;4
338;338;3
339;339;4
340;340;22
341;341;1
342;342;12
343;343;28
344;344;41
345;345;55
346;346;30
347;347;31
348;348;44
349;349;13
350;350;8
351;351;5
352;352;12
353;353;2
354;354;17
355;355;12
356;356;20
357;357;1
358;358;12
359;359;4
360;360;16
361;361;4
362;362;2
363;363;2
364;364;4
365;365;6
366;366;1
367;367;8
368;368;1
369;369;9
370;370;2
371;371;6
372;372;4
373;373;5
374;374;15
375;375;18
376;376;5
377;377;2
378;378;14
379;379;10
380;380;3
381;381;21
382;382;17
383;383;3
384;384;4
385;385;17
386;386;13
387;387;12
388;388;11
389;389;4
390;390;24
391;391;5
392;392;8
393;393;7
394;394;6
395;395;6
396;396;5
397;397;26
398;398;1
399;399;12
400;400;5
401;401;5
402;402;10
403;403;6
404;404;2
405;405;34
406;406;1
407;407;65
408;408;51
409;409;15
410;410;62
411;411;25
412;412;46
413;413;14
414;414;1
415;415;3
416;416;5
417;417;1
418;418;2
419;419;2
420;420;3
421;421;15
422;422;7
423;423;14
424;424;19
425;425;1
426;426;12
427;427;12
428;428;14
429;429;20
430;430;22
431;431;8
432;432;7
433;433;18
434;434;1
435;435;3
436;436;10
437;437;14
438;438;14
439;439;15
440;440;11
441;441;1
442;442;7
443;443;22
444;444;8
445;445;13
446;446;11
447;447;19
448;448;12
449;449;2
450;450;3
451;451;5
452;452;1
453;453;61
454;454;13
455;455;8
456;456;9
457;457;2
458;458;12
459;459;9
460;460;2
461;461;4
462;462;1
463;463;16
464;464;12
465;465;2
466;466;13
467;467;18
468;468;15
469;469;9
470;470;9
471;471;1
472;472;2
473;473;14
474;474;13
475;475;13
476;476;14
477;477;5
478;478;9
479;479;6
480;480;14
481;481;14
482;482;4
483;483;14
484;484;12
485;485;7
486;486;17
487;487;21
488;488;5
489;489;12
490;490;1
491;491;9
492;492;2
493;493;16
494;494;9
495;495;43
496;496;11
497;497;12
498;498;16
499;499;7
500;500;8
501;501;4
502;502;7
503;503;7
504;504;9
505;505;19
506;506;14
507;507;12
508;508;4
509;509;2
510;510;15
511;511;7
512;512;20
513;513;3
514;514;1
515;515;21
516;516;16
517;517;10
518;518;4
519;519;11
520;520;9
521;521;8
522;522;2
523;523;3
524;524;12
525;525;1
526;526;13
527;527;13
528;528;8
529;529;1
530;530;2
531;531;12
532;532;4
533;533;14
534;534;14
535;535;13
536;536;10
537;537;8
538;538;20
539;539;4
540;540;7
541;541;1
542;542;12
543;543;5
544;544;9
545;545;21
546;546;7
547;547;19
548;548;9
549;549;11
550;550;16
551;551;9
552;552;2
553;553;2
554;554;5
555;555;1
556;556;13
557;557;2
558;558;15
559;559;2
560;560;18
561;561;12
562;562;17
