Id;Label;Interval
812;812;31
961;961;31
1528;1528;31
1579;1579;31
167;167;32
260;260;32
693;693;32
945;945;32
1116;1116;32
3427;3427;32
4609;4609;32
132;132;33
698;698;33
1553;1553;33
1890;1890;33
2975;2975;33
405;405;34
695;695;34
1959;1959;34
6323;6323;34
8308;8308;34
129;129;35
133;133;35
314;314;35
984;984;35
1058;1058;35
2197;2197;35
2484;2484;35
220;220;36
565;565;36
1255;1255;36
2196;2196;36
3076;3076;36
168;168;37
1503;1503;37
1529;1529;37
2195;2195;38
2364;2364;38
3060;3060;38
4057;4057;38
4673;4673;38
5673;5673;38
568;568;39
696;696;39
3761;3761;39
794;794;40
344;344;41
1055;1055;41
1943;1943;41
4496;4496;41
765;765;42
889;889;42
1535;1535;42
2096;2096;42
3556;3556;42
3802;3802;42
5598;5598;42
495;495;43
566;566;43
1456;1456;43
1534;1534;43
2485;2485;43
4097;4097;43
131;131;44
348;348;44
1551;1551;45
99;99;46
412;412;46
1971;1971;46
2265;2265;46
147;147;47
867;867;47
988;988;47
1537;1537;47
1164;1164;48
6101;6101;49
699;699;50
408;408;51
2416;2416;51
127;127;52
763;763;52
989;989;52
1198;1198;54
345;345;55
987;987;56
1536;1536;56
165;165;58
171;171;58
263;263;59
453;453;61
5617;5617;61
410;410;62
261;261;63
1655;1655;64
407;407;65
1056;1056;65
9134;9134;66
1054;1054;82
3109;3109;103
